,item,predicate_types,answer_type,Question,Continuation,num
269,FillerThink5,Think Bad,No,Does Martin think that Maggie is coming to his graduation party?,"No, because she is.",16
270,FillerThink5,Think Good,No,Does Martin think that Maggie is coming to his graduation party?,"No, because she isn't.",9
271,FillerThink5,Think Bad,Yes,Does Martin think that Maggie is coming to his graduation party?,"Yes, although he thinks that only Karen is.",13
272,FillerThink5,Think Good,Yes,Does Martin think that Maggie is coming to his graduation party?,"Yes, although she isn't.",22
273,FillerThink6,Think Bad,No,Does Larry think that Karen is visiting his family?,"No, because she is.",22
274,FillerThink6,Think Good,No,Does Larry think that Karen is visiting his family?,"No, because she isn't.",13
275,FillerThink6,Think Bad,Yes,Does Larry think that Karen is visiting his family?,"Yes, although he thinks that only Maria is.",16
276,FillerThink6,Think Good,Yes,Does Larry think that Karen is visiting his family?,"Yes, although she isn't.",9
277,FillerThink7,Think Bad,No,Does Mike think that Maria is moving back to New York?,"No, because she is.",9
278,FillerThink7,Think Good,No,Does Mike think that Maria is moving back to New York?,"No, because she isn't.",16
279,FillerThink7,Think Bad,Yes,Does Mike think that Maria is moving back to New York?,"Yes, although he thinks that only Amy is.",22
280,FillerThink7,Think Good,Yes,Does Mike think that Maria is moving back to New York?,"Yes, although she isn't.",13
281,FillerThink8,Think Bad,No,Does Eric think that Amy is leaving her job?,"No, because she is.",13
282,FillerThink8,Think Good,No,Does Eric think that Amy is leaving her job?,"No, because she isn't.",22
283,FillerThink8,Think Bad,Yes,Does Eric think that Amy is leaving her job?,"Yes, although he thinks that only Laura is.",9
284,FillerThink8,Think Good,Yes,Does Eric think that Amy is leaving her job?,"Yes, although she isn't.",16
285,FillerThink9,Think Bad,No,Does Robin think that Laura is coming to the meeting?,"No, because she is.",22
286,FillerThink9,Think Good,No,Does Robin think that Laura is coming to the meeting?,"No, because she isn't.",13
287,FillerThink9,Think Bad,Yes,Does Robin think that Laura is coming to the meeting?,"Yes, although he thinks that only Maria is.",16
288,FillerThink9,Think Good,Yes,Does Robin think that Laura is coming to the meeting?,"Yes, although she isn't.",9
